photo	00000	6
gallery	00001	2
funniest	00010	2
thing	00011	4
hours	0010000	3
0	0010001	2
__and__	00100100	2
feb	001001010	2
seconds	001001011	2
rain	00100110	2
till	00100111	3
days	001010	12
these	001011	3
did	0011000000	10
show	0011000000	11
from	0011000000	12
or	0011000000	12
2	0011000000	14
he	0011000000	14
they	0011000000	17
what	0011000000	17
3	0011000000	18
actually	0011000000	2
b	0011000000	2
city	0011000000	2
cody	0011000000	2
computer	0011000000	2
december	0011000000	2
doin	0011000000	2
fall	0011000000	2
gay	0011000000	2
hey	0011000000	2
hold	0011000000	2
http://bit.ly/f3ypeb	0011000000	2
jus	0011000000	2
look	0011000000	2
messages	0011000000	2
moment	0011000000	2
nice	0011000000	2
personal	0011000000	2
pet	0011000000	2
real	0011000000	2
rehab	0011000000	2
scheduled	0011000000	2
shout	0011000000	2
shut	0011000000	2
sing	0011000000	2
sitting	0011000000	2
soulja	0011000000	2
status	0011000000	2
totally	0011000000	2
trying	0011000000	2
tweet	0011000000	2
used	0011000000	2
wall	0011000000	2
wo	0011000000	2
works	0011000000	2
wrote	0011000000	2
yay	0011000000	2
&lt;	0011000000	20
do	0011000000	22
n't	0011000000	24
31	0011000000	3
class	0011000000	3
could	0011000000	3
dec	0011000000	3
dream	0011000000	3
face	0011000000	3
favorite	0011000000	3
fuck	0011000000	3
him	0011000000	3
jan	0011000000	3
lets	0011000000	3
made	0011000000	3
meet	0011000000	3
meeting	0011000000	3
practice	0011000000	3
room	0011000000	3
shit	0011000000	3
talking	0011000000	3
ugh	0011000000	3
world	0011000000	3
yours	0011000000	3
youtube	0011000000	3
out	0011000000	30
time	0011000000	38
30	0011000000	4
boy	0011000000	4
ca	0011000000	4
find	0011000000	4
house	0011000000	4
@justinbieber	0011000000	4
lmao	0011000000	4
n	0011000000	4
put	0011000000	4
usually	0011000000	4
wit	0011000000	4
this	0011000000	40
today	0011000000	42
when	0011000000	48
down	0011000000	5
driving	0011000000	5
make	0011000000	5
someone	0011000000	5
's	0011000000	51
my	0011000000	53
call	0011000000	6
oh	0011000000	6
our	0011000000	6
is	0011000000	65
in	0011000000	69
again	0011000000	7
big	0011000000	7
:d	0011000000	7
come	0011000000	8
here	0011000000	9
it	0011000000	95
been	0011000001	10
has	0011000001	10
people	0011000001	10
well	0011000001	10
going	0011000001	11
'll	0011000001	11
say	0011000001	11
see	0011000001	11
she	0011000001	11
sunday	0011000001	11
years	0011000001	11
as	0011000001	12
im	0011000001	12
love	0011000001	12
there	0011000001	12
want	0011000001	12
work	0011000001	12
a	0011000001	125
to	0011000001	127
u	0011000001	13
your	0011000001	13
can	0011000001	14
next	0011000001	14
about	0011000001	15
back	0011000001	16
go	0011000001	16
the	0011000001	165
i	0011000001	168
know	0011000001	17
one	0011000001	17
her	0011000001	18
if	0011000001	18
its	0011000001	18
:)	0011000001	19
all	0011000001	19
good	0011000001	19
'm	0011000001	19
will	0011000001	19
=	0011000001	2
-_-	0011000001	2
---	0011000001	2
?:	0011000001	2
(	0011000001	2
)	0011000001	2
100%	0011000001	2
2011	0011000001	2
23	0011000001	2
5th	0011000001	2
60	0011000001	2
ah	0011000001	2
angry	0011000001	2
anything	0011000001	2
ass	0011000001	2
awaiting	0011000001	2
aww	0011000001	2
bath	0011000001	2
beat	0011000001	2
beautiful	0011000001	2
become	0011000001	2
benedict	0011000001	2
bonus	0011000001	2
boots	0011000001	2
brings	0011000001	2
called	0011000001	2
cier	0011000001	2
code	0011000001	2
dad	0011000001	2
deandre	0011000001	2
design	0011000001	2
doctor	0011000001	2
double	0011000001	2
drunk	0011000001	2
during	0011000001	2
eating	0011000001	2
else	0011000001	2
enough	0011000001	2
episodes	0011000001	2
event	0011000001	2
everybody	0011000001	2
failed	0011000001	2
fantastic	0011000001	2
feeling	0011000001	2
finally	0011000001	2
fired	0011000001	2
following	0011000001	2
friend	0011000001	2
full	0011000001	2
games	0011000001	2
glad	0011000001	2
guy	0011000001	2
having	0011000001	2
i'd	0011000001	2
ill	0011000001	2
imma	0011000001	2
instead	0011000001	2
interesting	0011000001	2
issue	0011000001	2
@jday_sept15	0011000001	2
job	0011000001	2
kid	0011000001	2
kings	0011000001	2
left	0011000001	2
lhs	0011000001	2
lord	0011000001	2
low	0011000001	2
married	0011000001	2
min	0011000001	2
mother	0011000001	2
move	0011000001	2
must	0011000001	2
national	0011000001	2
nyt	0011000001	2
obsessed	0011000001	2
okay	0011000001	2
own	0011000001	2
p	0011000001	2
peace	0011000001	2
pepsi	0011000001	2
plans	0011000001	2
point	0011000001	2
quick	0011000001	2
ready	0011000001	2
reason	0011000001	2
resume	0011000001	2
seems	0011000001	2
sept	0011000001	2
sharks	0011000001	2
short	0011000001	2
simply	0011000001	2
sister	0011000001	2
smaller	0011000001	2
smh	0011000001	2
snow	0011000001	2
sorry	0011000001	2
